date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:56	124/124	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Jul%202023%2021:19:55%20GMT	https://jefesprofootball.com/robots.txt		(from )
15:19:57	201593/201593	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2021:19:56%20GMT	https://jefesprofootball.com/noticias/	C:/My%20Web%20Sites/noticias/jefesprofootball.com/noticias/index.html	(from )
15:19:58	1610/1610	---MCZ	200	added ('OK')	text/css	etag:W/%22641ae3c7-64a%22	https://jefesprofootball.com/wp-content/plugins/easy-image-collage/css/public.css?m=1679483847	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/plugins/easy-image-collage/css/public1b83.css	(from https://jefesprofootball.com/noticias/)
15:19:58	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://jefesprofootball.com/wp-includes/css/dashicons.min.css?ver=6.2.2	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/css/dashicons.min3781.css	(from https://jefesprofootball.com/noticias/)
15:19:58	89815/89815	---MCZ	200	added ('OK')	application/javascript	etag:W/%226408d5ed-15ed7%22	https://jefesprofootball.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/js/jquery/jquery.min5aed.js	(from https://jefesprofootball.com/noticias/)
15:19:58	8829/8829	---MCZ	200	added ('OK')	application/javascript	etag:W/%226489ad36-227d%22	https://jefesprofootball.com/wp-content/plugins/gutenberg/build/i18n/index.min.js?ver=5baa98e4345eccc97e24	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/plugins/gutenberg/build/i18n/index.mina8f5.js	(from https://jefesprofootball.com/noticias/)
15:19:58	303/303	---M--	200	added ('OK')	application/javascript	etag:%226391c7e3-12f%22	https://jefesprofootball.com/wp-content/plugins/blogmentor/assets/js/custom.js?m=1670498275	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/plugins/blogmentor/assets/js/custom6486.js	(from https://jefesprofootball.com/noticias/)
15:19:59	1389/1389	---M--	200	added ('OK')	image/png	etag:%22939c42ce165f054a%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/noticias/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255e43b.png	(from https://jefesprofootball.com/noticias/)
15:19:59	7429/7429	---M--	200	added ('OK')	image/png	etag:%22b1dd34abf516a910%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/noticias/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e166691902825598d8.png	(from https://jefesprofootball.com/noticias/)
15:19:59	6962/6962	---M--	200	added ('OK')	image/png	etag:%221c212799eb443cfb%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/noticias/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/cropped-JEFES-LFA-icon2-e1666919028255f9b5.png	(from https://jefesprofootball.com/noticias/)
15:19:59	16462/16462	---M--	200	added ('OK')	image/png	etag:%229df5878a347d4a4a%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/JEFES_LFA_LOGO_1.png?fit=768%2C239&ssl=1	C:/My%20Web%20Sites/noticias/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/10/JEFES_LFA_LOGO_1cd1e.png	(from https://jefesprofootball.com/noticias/)
15:20:00	16391/16391	---M--	200	added ('OK')	image/png	etag:%22cbb5a3617325947d%22	https://i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-24@2x.png?fit=1024%2C76&ssl=1	C:/My%20Web%20Sites/noticias/i0.wp.com/jefesprofootball.com/wp-content/uploads/2022/03/Mesa-de-trabajo-24@2x8d4c.png	(from https://jefesprofootball.com/noticias/)
15:20:00	235767/235767	---M--	200	added ('OK')	image/jpeg	etag:%226262c702-398f7%22	https://jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-04-21-at-11.41.53-AM-2.jpeg	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-04-21-at-11.41.53-AM-2.jpg	(from https://jefesprofootball.com/noticias/)
15:20:00	172215/172215	---M--	200	added ('OK')	image/jpeg	etag:%22624f0e47-2a0b7%22	https://jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-03-29-at-1.09.15-PM.jpeg	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-03-29-at-1.09.15-PM.jpg	(from https://jefesprofootball.com/noticias/)
15:20:00	231599/231599	---M--	200	added ('OK')	image/jpeg	etag:%22624f2558-388af%22	https://jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-03-29-at-12.02.34-PM-2.jpeg	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/uploads/2022/04/WhatsApp-Image-2022-03-29-at-12.02.34-PM-2.jpg	(from https://jefesprofootball.com/noticias/)
15:20:01	7154/7154	---MCZ	200	added ('OK')	application/javascript	etag:W/%22649d9e29-1bf2%22	https://s0.wp.com/wp-content/js/bilmur.min.js?m=202330	C:/My%20Web%20Sites/noticias/s0.wp.com/wp-content/js/bilmur.minbf6c.js	(from https://jefesprofootball.com/noticias/)
15:20:01	18833/18833	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263331441-4991%22	https://jefesprofootball.com/wp-includes/js/underscore.min.js?ver=1.13.4	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/js/underscore.mind584.js	(from https://jefesprofootball.com/noticias/)
15:20:01	2643/2643	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632e0f32-a53%22	https://jefesprofootball.com/wp-includes/js/shortcode.min.js?m=1663962930	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/js/shortcode.min6e03.js	(from https://jefesprofootball.com/noticias/)
15:20:01	23848/23848	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263dbe690-5d28%22	https://jefesprofootball.com/wp-includes/js/backbone.min.js?ver=1.4.1	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/js/backbone.min330a.js	(from https://jefesprofootball.com/noticias/)
15:20:02	158005/158005	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335a9d7-26935%22	https://jefesprofootball.com/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.17	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-includes/js/mediaelement/mediaelement-and-player.min1f61.js	(from https://jefesprofootball.com/noticias/)
15:20:02	16995/16995	---MCZ	200	added ('OK')	application/javascript	etag:W/%2226c50704cd1b33329a181c22a1d67cb1%22	https://jefesprofootball.com/_static/??wp-content/themes/astra/assets/js/minified/frontend.min.js,wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-image-cdn/dist/image-cdn.js?m=1683565066	C:/My%20Web%20Sites/noticias/jefesprofootball.com/_static/indexcf59.html	(from https://jefesprofootball.com/noticias/)
15:20:02	2361/2361	---MCZ	200	added ('OK')	application/javascript	etag:W/%226489ad36-939%22	https://jefesprofootball.com/wp-content/plugins/gutenberg/build/a11y/index.min.js?ver=9061ce25a6ee8a006b52	C:/My%20Web%20Sites/noticias/jefesprofootball.com/wp-content/plugins/gutenberg/build/a11y/index.min1c1d.js	(from https://jefesprofootball.com/noticias/)
